"Style","Width","Length","Feature","SQ FT","Post Amount","Pitch","Beam Height","Color - Option","Pine Staining - Option","Duratemp Staining - Option","Duratemp Painting - Option","Pine Painting - Option","Z1 Prebuilt","Z1 AOS","Z2 Prebuilt","Z2 AOS","Z3 Prebuilt","Z3 AOS","Z4 Prebuilt","Z4 AOS","Z5 Prebuilt","Z5 AOS","Z6 Prebuilt","Z6 AOS","Z7 Prebuilt","Z7 AOS","Z1 Duracolumn","Z2 Duracolumn","Z3 Duracolumn","Z4 Duracolumn","Z5 Duracolumn","Z6 Duracolumn","Z7 Duracolumn"
"Bradford",12,16,"Solid Pine",192,4,7,8,"$1,657 ","$1,657 ","$1,657 ","$1,657 ","$1,657 ","N/A","$6,532 ","N/A","$6,809 ","N/A","$7,022 ","N/A","$7,131 ","N/A","$7,240 ","N/A","$7,349 ","N/A","$7,458 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,16,"Solid Cedar",192,4,7,8,"$1,657 ","$1,657 ","$1,657 ","$1,657 ","$1,657 ","N/A","$9,798 ","N/A","$10,214 ","N/A","$10,533 ","N/A","$10,697 ","N/A","$10,860 ","N/A","$11,024 ","N/A","$11,188 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,20,"Solid Pine",240,6,7,8,"$2,049 ","$2,049 ","$2,049 ","$2,049 ","$2,049 ","N/A","$7,451 ","N/A","$7,753 ","N/A","$7,980 ","N/A","$8,089 ","N/A","$8,198 ","N/A","$8,307 ","N/A","$8,416 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,20,"Solid Cedar",240,6,7,8,"$2,049 ","$2,049 ","$2,049 ","$2,049 ","$2,049 ","N/A","$11,177 ","N/A","$11,629 ","N/A","$11,970 ","N/A","$12,133 ","N/A","$12,297 ","N/A","$12,461 ","N/A","$12,624 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,24,"Solid Pine",288,6,7,8,"$2,074 ","$2,074 ","$2,074 ","$2,074 ","$2,074 ","N/A","$8,410 ","N/A","$8,736 ","N/A","$8,979 ","N/A","$9,088 ","N/A","$9,197 ","N/A","$9,306 ","N/A","$9,415 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,24,"Solid Cedar",288,6,7,8,"$2,074 ","$2,074 ","$2,074 ","$2,074 ","$2,074 ","N/A","$12,615 ","N/A","$13,105 ","N/A","$13,468 ","N/A","$13,631 ","N/A","$13,795 ","N/A","$13,959 ","N/A","$14,122 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,16,"Solid Pine",224,4,7,8,"$2,114 ","$2,114 ","$2,114 ","$2,114 ","$2,114 ","N/A","$7,279 ","N/A","$7,576 ","N/A","$7,800 ","N/A","$7,909 ","N/A","$8,018 ","N/A","$8,127 ","N/A","$8,236 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,16,"Solid Cedar",224,4,7,8,"$2,114 ","$2,114 ","$2,114 ","$2,114 ","$2,114 ","N/A","$10,918 ","N/A","$11,364 ","N/A","$11,700 ","N/A","$11,864 ","N/A","$12,027 ","N/A","$12,191 ","N/A","$12,355 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,20,"Solid Pine",280,6,7,8,"$2,121 ","$2,121 ","$2,121 ","$2,121 ","$2,121 ","N/A","$8,372 ","N/A","$8,728 ","N/A","$9,000 ","N/A","$9,140 ","N/A","$9,280 ","N/A","$9,420 ","N/A","$9,560 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,20,"Solid Cedar",280,6,7,8,"$2,121 ","$2,121 ","$2,121 ","$2,121 ","$2,121 ","N/A","$12,558 ","N/A","$13,091 ","N/A","$13,500 ","N/A","$13,710 ","N/A","$13,920 ","N/A","$14,130 ","N/A","$14,340 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,24,"Solid Pine",336,6,7,8,"$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","N/A","$9,381 ","N/A","$9,763 ","N/A","$10,052 ","N/A","$10,191 ","N/A","$10,331 ","N/A","$10,471 ","N/A","$10,611 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,24,"Solid Cedar",336,6,7,8,"$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","N/A","$14,071 ","N/A","$14,645 ","N/A","$15,077 ","N/A","$15,287 ","N/A","$15,497 ","N/A","$15,707 ","N/A","$15,917 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,28,"Solid Pine",392,6,7,8,"$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","N/A","$10,964 ","N/A","$11,387 ","N/A","$11,701 ","N/A","$11,841 ","N/A","$11,980 ","N/A","$12,120 ","N/A","$12,260 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Bradford",14,28,"Solid Cedar",392,6,7,8,"$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","N/A","$16,446 ","N/A","$17,081 ","N/A","$17,551 ","N/A","$17,761 ","N/A","$17,971 ","N/A","$18,180 ","N/A","$18,390 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Bradford",14,32,"Solid Pine",448,6,7,8,"$2,340 ","$2,340 ","$2,340 ","$2,340 ","$2,340 ","N/A","$12,425 ","N/A","$12,887 ","N/A","$13,223 ","N/A","$13,363 ","N/A","$13,502 ","N/A","$13,642 ","N/A","$13,782 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Bradford",14,32,"Solid Cedar",448,6,7,8,"$2,340 ","$2,340 ","$2,340 ","$2,340 ","$2,340 ","N/A","$18,638 ","N/A","$19,330 ","N/A","$19,834 ","N/A","$20,044 ","N/A","$20,254 ","N/A","$20,463 ","N/A","$20,673 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Bradford",16,16,"Solid Pine",256,4,7,8,"$2,185 ","$2,185 ","$2,185 ","$2,185 ","$2,185 ","N/A","$8,301 ","N/A","$8,624 ","N/A","$8,865 ","N/A","$8,974 ","N/A","$9,083 ","N/A","$9,192 ","N/A","$9,301 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",16,16,"Solid Cedar",256,4,7,8,"$2,185 ","$2,185 ","$2,185 ","$2,185 ","$2,185 ","N/A","$12,451 ","N/A","$12,937 ","N/A","$13,297 ","N/A","$13,461 ","N/A","$13,624 ","N/A","$13,788 ","N/A","$13,952 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",16,20,"Solid Pine",320,6,7,8,"$1,970 ","$1,970 ","$1,970 ","$1,970 ","$1,970 ","N/A","$9,524 ","N/A","$9,909 ","N/A","$10,200 ","N/A","$10,340 ","N/A","$10,480 ","N/A","$10,620 ","N/A","$10,760 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",16,20,"Solid Cedar",320,6,7,8,"$1,970 ","$1,970 ","$1,970 ","$1,970 ","$1,970 ","N/A","$14,285 ","N/A","$14,864 ","N/A","$15,300 ","N/A","$15,510 ","N/A","$15,720 ","N/A","$15,930 ","N/A","$16,139 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",16,24,"Solid Pine",384,6,7,8,"$2,005 ","$2,005 ","$2,005 ","$2,005 ","$2,005 ","N/A","$11,087 ","N/A","$11,544 ","N/A","$11,891 ","N/A","$12,061 ","N/A","$12,232 ","N/A","$12,402 ","N/A","$12,573 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",16,24,"Solid Cedar",384,6,7,8,"$2,005 ","$2,005 ","$2,005 ","$2,005 ","$2,005 ","N/A","$16,631 ","N/A","$17,316 ","N/A","$17,836 ","N/A","$18,092 ","N/A","$18,348 ","N/A","$18,604 ","N/A","$18,860 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",16,28,"Solid Pine",448,6,7,8,"$2,340 ","$2,340 ","$2,340 ","$2,340 ","$2,340 ","N/A","$12,969 ","N/A","$13,505 ","N/A","$13,912 ","N/A","$14,114 ","N/A","$14,315 ","N/A","$14,516 ","N/A","$14,718 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Bradford",16,28,"Solid Cedar",448,6,7,8,"$2,340 ","$2,340 ","$2,340 ","$2,340 ","$2,340 ","N/A","$19,453 ","N/A","$20,258 ","N/A","$20,868 ","N/A","$21,170 ","N/A","$21,472 ","N/A","$21,775 ","N/A","$22,077 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Bradford",16,32,"Solid Pine",512,6,7,8,"$2,167 ","$2,167 ","$2,167 ","$2,167 ","$2,167 ","N/A","$14,564 ","N/A","$15,172 ","N/A","$15,636 ","N/A","$15,868 ","N/A","$16,100 ","N/A","$16,332 ","N/A","$16,564 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Bradford",16,32,"Solid Cedar",512,6,7,8,"$2,167 ","$2,167 ","$2,167 ","$2,167 ","$2,167 ","N/A","$21,846 ","N/A","$22,758 ","N/A","$23,453 ","N/A","$23,802 ","N/A","$24,150 ","N/A","$24,498 ","N/A","$24,846 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Bradford",20,20,"Solid Pine",400,8,7,8,"$2,089 ","$2,089 ","$2,089 ","$2,089 ","$2,089 ","N/A","$12,330 ","N/A","$12,880 ","N/A","$13,308 ","N/A","$13,540 ","N/A","$13,772 ","N/A","$14,005 ","N/A","$14,237 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",20,20,"Solid Cedar",400,8,7,8,"$2,089 ","$2,089 ","$2,089 ","$2,089 ","$2,089 ","N/A","$18,495 ","N/A","$19,319 ","N/A","$19,962 ","N/A","$20,310 ","N/A","$20,659 ","N/A","$21,007 ","N/A","$21,355 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",20,24,"Solid Pine",480,8,7,8,"$2,159 ","$2,159 ","$2,159 ","$2,159 ","$2,159 ","N/A","$13,603 ","N/A","$14,186 ","N/A","$14,635 ","N/A","$14,867 ","N/A","$15,099 ","N/A","$15,331 ","N/A","$15,563 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",20,24,"Solid Cedar",480,8,7,8,"$2,159 ","$2,159 ","$2,159 ","$2,159 ","$2,159 ","N/A","$20,405 ","N/A","$21,280 ","N/A","$21,952 ","N/A","$22,300 ","N/A","$22,648 ","N/A","$22,997 ","N/A","$23,345 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",20,28,"Solid Pine",560,8,7,8,"$2,370 ","$2,370 ","$2,370 ","$2,370 ","$2,370 ","N/A","$15,957 ","N/A","$16,632 ","N/A","$17,148 ","N/A","$17,411 ","N/A","$17,674 ","N/A","$17,937 ","N/A","$18,200 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Bradford",20,28,"Solid Cedar",560,8,7,8,"$2,370 ","$2,370 ","$2,370 ","$2,370 ","$2,370 ","N/A","$23,936 ","N/A","$24,948 ","N/A","$25,722 ","N/A","$26,117 ","N/A","$26,511 ","N/A","$26,906 ","N/A","$27,300 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Bradford",20,32,"Solid Pine",640,8,7,8,"$2,709 ","$2,709 ","$2,709 ","$2,709 ","$2,709 ","N/A","$17,195 ","N/A","$17,902 ","N/A","$18,437 ","N/A","$18,700 ","N/A","$18,963 ","N/A","$19,226 ","N/A","$19,489 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Bradford",20,32,"Solid Cedar",640,8,7,8,"$2,709 ","$2,709 ","$2,709 ","$2,709 ","$2,709 ","N/A","$25,793 ","N/A","$26,853 ","N/A","$27,656 ","N/A","$28,051 ","N/A","$28,445 ","N/A","$28,840 ","N/A","$29,234 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Dublin",10,10,"Vinyl",100,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$7,404 ","N/A","$7,704 ","N/A","$7,931 ","N/A","$8,040 ","N/A","$8,149 ","N/A","$8,258 ","N/A","$8,367 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Dublin",10,12,"Vinyl",120,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$8,010 ","N/A","$8,326 ","N/A","$8,562 ","N/A","$8,671 ","N/A","$8,780 ","N/A","$8,889 ","N/A","$8,998 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Dublin",10,16,"Vinyl",160,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$9,949 ","N/A","$10,333 ","N/A","$10,618 ","N/A","$10,746 ","N/A","$10,873 ","N/A","$11,001 ","N/A","$11,128 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",12,12,"Vinyl",144,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$8,407 ","N/A","$8,734 ","N/A","$8,976 ","N/A","$9,085 ","N/A","$9,194 ","N/A","$9,303 ","N/A","$9,412 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Dublin",12,16,"Vinyl",192,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$10,925 ","N/A","$11,347 ","N/A","$11,660 ","N/A","$11,800 ","N/A","$11,940 ","N/A","$12,080 ","N/A","$12,219 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",12,20,"Vinyl",240,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$11,684 ","N/A","$12,126 ","N/A","$12,451 ","N/A","$12,591 ","N/A","$12,731 ","N/A","$12,870 ","N/A","$13,010 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",12,24,"Vinyl",288,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$13,041 ","N/A","$13,518 ","N/A","$13,864 ","N/A","$14,003 ","N/A","$14,143 ","N/A","$14,283 ","N/A","$14,423 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",14,16,"Vinyl",224,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$11,087 ","N/A","$11,514 ","N/A","$11,829 ","N/A","$11,969 ","N/A","$12,109 ","N/A","$12,248 ","N/A","$12,388 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",14,20,"Vinyl",280,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$12,653 ","N/A","$13,120 ","N/A","$13,460 ","N/A","$13,600 ","N/A","$13,740 ","N/A","$13,879 ","N/A","$14,019 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",14,24,"Vinyl",336,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$13,954 ","N/A","$14,455 ","N/A","$14,815 ","N/A","$14,955 ","N/A","$15,095 ","N/A","$15,235 ","N/A","$15,375 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",14,28,"Vinyl",392,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$15,525 ","N/A","$16,128 ","N/A","$16,575 ","N/A","$16,776 ","N/A","$16,978 ","N/A","$17,179 ","N/A","$17,381 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Dublin",14,32,"Vinyl",448,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$18,506 ","N/A","$19,247 ","N/A","$19,803 ","N/A","$20,066 ","N/A","$20,329 ","N/A","$20,592 ","N/A","$20,855 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Dublin",16,16,"Vinyl",256,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$13,589 ","N/A","$14,141 ","N/A","$14,558 ","N/A","$14,759 ","N/A","$14,961 ","N/A","$15,162 ","N/A","$15,364 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",16,20,"Vinyl",320,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$14,993 ","N/A","$15,612 ","N/A","$16,082 ","N/A","$16,315 ","N/A","$16,547 ","N/A","$16,779 ","N/A","$17,011 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",16,24,"Vinyl",384,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$16,845 ","N/A","$17,543 ","N/A","$18,073 ","N/A","$18,336 ","N/A","$18,599 ","N/A","$18,862 ","N/A","$19,125 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",16,28,"Vinyl",448,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$18,437 ","N/A","$19,176 ","N/A","$19,731 ","N/A","$19,994 ","N/A","$20,257 ","N/A","$20,520 ","N/A","$20,783 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Dublin",16,32,"Vinyl",512,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$21,855 ","N/A","$22,683 ","N/A","$23,291 ","N/A","$23,554 ","N/A","$23,817 ","N/A","$24,080 ","N/A","$24,343 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Dublin",20,20,"Vinyl",400,4,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$17,299 ","N/A","$18,009 ","N/A","$18,546 ","N/A","$18,809 ","N/A","$19,072 ","N/A","$19,335 ","N/A","$19,598 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",20,24,"Vinyl",480,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$18,598 ","N/A","$19,342 ","N/A","$19,899 ","N/A","$20,162 ","N/A","$20,425 ","N/A","$20,688 ","N/A","$20,951 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Dublin",20,28,"Vinyl",560,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$20,418 ","N/A","$21,209 ","N/A","$21,795 ","N/A","$22,058 ","N/A","$22,321 ","N/A","$22,584 ","N/A","$22,847 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Dublin",20,32,"Vinyl",640,6,7,8,"N/A","N/A","N/A","N/A","N/A","N/A","$23,201 ","N/A","$24,064 ","N/A","$24,693 ","N/A","$24,956 ","N/A","$25,219 ","N/A","$25,482 ","N/A","$25,745 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
